"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5896","Chhattisgarh","Installation of fixed garden gym equipment","WS/MP225/2025-2026/255036","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-May-2026","Skycore Infra","Payment Success","750000"
"5897","Chhattisgarh","Installation of fixed garden gym equipment","WS/MP225/2025-2026/255034","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","21-May-2026","Skycore Infra","Payment Success","750000"
"5898","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18297/2026-2027/257205","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","02-Apr-2026","DHATRAWADA","Payment Success","900000"
"5899","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP839/2024-2025/174299","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","20-Sep-2025","MS WAZIR INDUSTRIES","Payment Success","496000"
"5900","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/251324","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","04-Apr-2026","NASIMUL HODA ANSARI","Payment Success","996750"
"5901","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/218313","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","11-Sep-2025","NASIMUL HODA ANSARI","Payment Success","1488487"
"5902","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/251324","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","21-Aug-2026","NASIMUL HODA ANSARI","Payment Success","490432"
"5903","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2025-2026/194362","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","16-Jan-2026","HASAN TRADERS","Payment Success","587741"
"5904","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2025-2026/194362","Sant Kabir Nagar(DISTRICT MAGISTRATE SANT KABIR NAGAR_2)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","05-Oct-2025","HASAN TRADERS","Payment Success","400183"
"5905","Chhattisgarh","Provision of escalator and travellators for public use","WS/MP225/2025-2026/214150","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","24-Mar-2026","GRAM PANCHAYAT DEORI","Payment Success","598568"
"5906","Chhattisgarh","Provision of escalator and travellators for public use","WS/MP225/2025-2026/214150","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","08-Oct-2025","GRAM PANCHAYAT DEORI","Payment Success","400000"
"5907","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/255016","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","28-Jul-2026","NAUSHAD REYAZ","Payment Success","1480950"
"5908","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/251325","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","03-Jul-2026","NAUSHAD REYAZ","Payment Success","1486313"
"5909","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/218309","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","17-Sep-2025","NAUSHAD REYAZ","Payment Success","1487798"
"5910","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/251323","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","04-Apr-2026","NAUSHAD REYAZ","Payment Success","1485136"
"5911","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/251326","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","04-Apr-2026","NAUSHAD REYAZ","Payment Success","1487902"
"5912","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP044/2025-2026/218314","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Akhilesh Prasad Singh (2024-30) (2024-2030)","Elected MP","25-Sep-2025","NAUSHAD REYAZ","Payment Success","1484622"
"5913","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP842/2025-2026/232198","PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA)","Smt. P. T. Usha (2022-28) (2022-2028)","Nominated MP","16-Sep-2025","Subin S","Payment Success","579870"
"5914","Kerala","Purchase of vans and buses for educational institutions","WS/MP096/2025-2026/167551","KOZHIKODE(DISTRICT COLLECTOR KOZHIKODE_IDA)","Shri Abdul Wahab (2021-27) (2021-2027)","Elected MP","19-Sep-2025","HEADMASTER CALICUT ORPHANAGE ALPS","Payment Success","69070"
"5915","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/152606","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","19-Sep-2025","mukesh","Payment Success","423212"
"5916","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP147/2024-2025/152606","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","19-Sep-2025","gram panchayat bodoli dehar","Payment Success","75465"
"5917","Himachal Pradesh","Installing hand pumps","WS/MP078/2024-2025/142549","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Sep-2025","MS Shiv Driller and Allied Traders","Payment Success","167750"
"5918","Himachal Pradesh","Installing hand pumps","WS/MP078/2025-2026/157671","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","18-Sep-2025","MS Shiv Driller and Allied Traders","Payment Success","170865"
"5919","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2025-2026/194360","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMAN CONSTRUCTION","Payment Success","1101932"
"5920","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP187/2025-2026/194360","KHERI(DISTRICT MAGISTRAE KHERI_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","20-Mar-2026","AMAN CONSTRUCTION","Payment Success","396630"
"5921","Haryana","Street lights","WS/MP18425/2025-2026/247740","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","04-Aug-2026","Director HAREDA Panchkula","Payment Success","260000"
"5922","Haryana","Street lights","WS/MP18425/2025-2026/247745","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","04-Aug-2026","Director HAREDA Panchkula","Payment Success","650000"
"5923","Haryana","Street lights","WS/MP18425/2025-2026/247743","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","04-Aug-2026","Director HAREDA Panchkula","Payment Success","520000"
"5924","Haryana","Street lights","WS/MP18425/2025-2026/247742","PANCHKULA(DRDA PANCHKULA)","Smt. Rekha Sharma (2024-28) (2024-2028)","Elected MP","04-Aug-2026","Director HAREDA Panchkula","Payment Success","260000"
"5925","Uttarakhand","Development of playfields and sports grounds","WS/MP850/2025-2026/174618","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","18-Sep-2025","Shishpal Singh Rawat","Payment Success","698420"
"5926","Uttarakhand","Development of playfields and sports grounds","WS/MP850/2025-2026/174618","Uttarkashi(DISTRICT COLLECTOR UTTARKASHI_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","12-Mar-2026","Shishpal Singh Rawat","Payment Success","299323"
"5927","Uttarakhand","Construction of rooms and halls in school and colleges","WS/MP18333/2025-2026/156624","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Shri Mahendra Bhatt (2024-30) (2024-2030)","Elected MP","15-Sep-2025","SHYAM DUTT SHARMA","Payment Success","800000"
"5928","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/254559","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","30-Dec-2025","Jain Udyog","Payment Success","13301"
"5929","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/254560","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","30-Dec-2025","Jain Udyog","Payment Success","15292"
"5930","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/254561","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","30-Dec-2025","Jain Udyog","Payment Success","15292"
"5931","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/254562","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","30-Dec-2025","Jain Udyog","Payment Success","13384"
"5932","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/254631","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","30-Dec-2025","Jain Udyog","Payment Success","886811"
"5933","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176716","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"5934","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176712","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"5935","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176714","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"5936","Tripura","Purchase of ambulances (Four, three and two wheelers)","WS/MP18412/2025-2026/176709","West Tripura(DISTRICT MAGISTRATE WEST TRIPURA_IDA)","Shri Rajib Bhattacharjee (2024-28) (2024-2028)","Elected MP","18-Sep-2025","Jain Udyog","Payment Success","901000"
"5937","Chhattisgarh","Development of playfields and sports grounds","WS/MP225/2025-2026/214151","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","20-Feb-2026","GRAM PANCHAYAT PADARIYA PAMGARH","Payment Success","597058"
"5938","Chhattisgarh","Development of playfields and sports grounds","WS/MP225/2025-2026/214151","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Smt. Ranjeet Ranjan (2022-28) (2022-2028)","Elected MP","09-Oct-2025","GRAM PANCHAYAT PADARIYA PAMGARH","Payment Success","400000"
"5939","Punjab","Construction of public libraries and reading rooms","WS/MP844/2024-2025/132456","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","01-Dec-2025","Vishawanath Rai","Payment Success","2240414"
"5940","Chandigarh","Construction of rooms and halls in school and colleges","WS/MP18365/2025-2026/134609","LEH LADAKH(DEPUTY COMMISSIONER LEH_IDA)","Shri Satnam Singh Sandhu (2024-30) (2024-2030)","Nominated MP","17-Sep-2025","Sonam Stobdan","Payment Success","700000"
"5941","Tamil Nadu","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP015/2025-2026/218568","RAMANATHAPURAM(DISTRICT COLLECTOR RAMANATHAPURAM_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","15-Sep-2025","GOWSIGAN N","Payment Success","998793"
"5942","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18292/2025-2026/157903","NANDED(DISTRICT COLLECTOR NANDED_IDA)","Dr. Ajeet Madhavrao Gopchade (2024-30) (2024-2030)","Elected MP","16-Sep-2025","GRAM PANCHAYAT KARYALAY BORGAON","Payment Success","997000"
"5943","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/254930","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","08-Jan-2026","JAY SHREE SHITLA MATA BUILDING MATERIAL SUPPLIERS","Payment Success","1199400"
"5944","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2025-2026/254930","BANSWARA(DISTRICT COLLECTOR BANSWARA_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","22-Feb-2026","JAY SHREE SHITLA MATA BUILDING MATERIAL SUPPLIERS","Payment Success","300586"
"5945","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18387/2025-2026/195984","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","04-Nov-2025","MS SHRI OM SAI TRADERS","Payment Success","263863"
"5946","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP18387/2025-2026/195984","Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA)","Shri Ratanjit Pratap Narain Singh (2024-30) (2024-2030)","Elected MP","13-Sep-2025","MS SHRI OM SAI TRADERS","Payment Success","787058"
"5947","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/185250","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","16-Sep-2025","Nrusinha Charan Sahoo","Payment Success","500000"
"5948","Maharashtra","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18286/2025-2026/187199","PUNE(DISTRICT COLLECTOR PUNE_IDA)","Dr. Medha Vishram Kulkarni (2024-30) (2024-2030)","Elected MP","08-Oct-2025","E VENU COMPUTERS","Payment Success","36000"
"5949","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP081/2025-2026/228744","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","22-Jan-2026","SANJEET KUMAR","Payment Success","300000"
"5950","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP081/2025-2026/228744","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","10-Mar-2026","SANJEET KUMAR","Payment Success","199572"
"5951","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18349/2025-2026/241067","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","10-Apr-2026","SANJEET KUMAR","Payment Success","662530"
"5952","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18349/2025-2026/241067","PALAMU(DEPUTY COMMISSIONER PALAMAU_IDA)","Shri Pradip Kumar Varma (2024-30) (2024-2030)","Elected MP","19-Aug-2026","SANJEET KUMAR","Payment Success","737470"
"5953","Kerala","Street lights","WS/MP100/2025-2026/158015","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","19-Sep-2025","ASSISTANT ENGINEER KSEB KADUTHURUTHY","Payment Success","586506"
"5954","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","Bhaira Ram","Payment Success","11700"
"5955","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","Bhanwar Singh","Payment Success","11700"
"5956","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","GYARSI DEVI","Payment Success","3705"
"5957","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","maina devi","Payment Success","3705"
"5958","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","Sagar Mal","Payment Success","11700"
"5959","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","saroj kanwar","Payment Success","3705"
"5960","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","SUMAN","Payment Success","3705"
"5961","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","suman kanwar","Payment Success","3705"
"5962","Rajasthan","Construction of community centers and community halls","WS/MP146/2025-2026/197417","CHURU(DISTRICT COLLECTOR CHURU_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","16-Sep-2025","swai singh","Payment Success","11700"
"5963","Puducherry","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP139/2024-2025/141428","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Shri S. Selvaganabathy (2021-27) (2021-2027)","Elected MP","22-Sep-2025","0182053000017269","Payment Success","2284583"
"5964","Jammu And Kashmir","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP839/2024-2025/174299","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","20-Sep-2025","SHIVANSH ENTERPRISES","Payment Success","23300"
"5965","Himachal Pradesh","Construction of community centers and community halls","WS/MP18304/2025-2026/147631","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","23-Sep-2025","BDO KANDAGHAT","Payment Success","200000"
"5966","Himachal Pradesh","Development of public parks","WS/MP18304/2025-2026/213098","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","23-Sep-2025","BDO KANDAGHAT","Payment Success","300000"
"5967","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/187633","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","23-Sep-2025","BDO KANDAGHAT","Payment Success","300000"
"5968","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/145565","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","31-Dec-2025","BDO KANDAGHAT","Payment Success","100000"
"5969","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2025-2026/145564","SOLAN(DEPUTY COMMISSIONER SOLAN_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","15-Nov-2025","BDO KANDAGHAT","Payment Success","100000"
"5970","Odisha","Construction of community centers and community halls","WS/MP131/2025-2026/152348","KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA)","Dr. Sasmit Patra (2022-28) (2022-2028)","Elected MP","18-Sep-2025","DEBAJYOTI PATTNAIK","Payment Success","613772"
"5971","Madhya Pradesh","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18316/2025-2026/208728","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-Sep-2025","BASE INTERNATIONAL","Payment Success","134500"
"5972","Madhya Pradesh","Purchase of IT systems, including hardware and software for educational purposes","WS/MP18316/2025-2026/208728","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","19-Sep-2025","SUDARSHAN HOME DECOR","Payment Success","164374"
"5973","Punjab","Purchase of mobile water tankers","WS/MP141/2025-2026/230796","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","16-Oct-2025","Online Solutions","Payment Success","500000"
"5974","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18290/2025-2026/213628","VIDISHA(District Collector Vidisha_IDA)","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","28-Nov-2025","GP PIPALIYA HAAT","Payment Success","250000"
"5975","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18290/2025-2026/213628","VIDISHA(District Collector Vidisha_IDA)","Shri Chandrakant Damodar Handore (2024-30) (2024-2030)","Elected MP","24-Sep-2025","GP PIPALIYA HAAT","Payment Success","750000"
"5976","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/218280","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","19-Sep-2025","sudesh","Payment Success","1125000"
"5977","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18295/2025-2026/218280","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Smt. Sonia Gandhi (2024-30) (2024-2030)","Elected MP","18-Nov-2025","sudesh","Payment Success","374700"
"5978","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP032/2025-2026/200857","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","10-Mar-2026","KUNISETTY KASHI VISWANATHA REDDY","Payment Success","798651"
"5979","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP032/2025-2026/200857","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","27-Oct-2025","KUNISETTY KASHI VISWANATHA REDDY","Payment Success","1009697"
"5980","Andhra Pradesh","Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","WS/MP032/2025-2026/200857","Visakhapatnam(DISTRICT COLLECTOR VISAKHAPATNAM_IDA)","Shri S Niranjan Reddy (2022-28) (2022-2028)","Elected MP","10-Aug-2026","KUNISETTY KASHI VISWANATHA REDDY","Payment Success","157882"
"5981","Gujarat","Purchase of immovable sports equipment","WS/MP889/2025-2026/241982","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","07-Jan-2026","Vinayak Agency","Payment Success","499590"
"5982","Gujarat","Purchase of immovable sports equipment","WS/MP889/2025-2026/241985","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","07-Jan-2026","Vinayak Agency","Payment Success","499590"
"5983","Gujarat","Purchase of immovable sports equipment","WS/MP889/2025-2026/241988","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","07-Jan-2026","Krishna Corporation","Payment Success","499545"
"5984","Gujarat","Purchase of immovable sports equipment","WS/MP889/2025-2026/241990","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","07-Jan-2026","Krishna Corporation","Payment Success","499545"
"5985","Uttar Pradesh","Development of public parks","WS/MP887/2024-2025/151281","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Dr. Dinesh Sharma (2023-26) (2023-2026)","Elected MP","14-Oct-2025","SHAKTI TRADERS","Payment Success","494000"
"5986","Madhya Pradesh","Construction of community centers and community halls","WS/MP106/2023-2024/1637","BETUL(DISTRICT COLLECTOR BETUL_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","23-Sep-2025","RK CONSTRUCTION","Payment Success","100724"
"5987","Telangana","Providing drains and gutters for public drainage","WS/MP171/2024-2025/144799","RAJANNA SIRCILLA(DISTRICT COLLECTOR RAJANNA SIRCILLA_IDA)","Shri Ravi Chandra Vaddiraju (2024-30) (2024-2030)","Elected MP","06-Feb-2026","MALOTHU SARITHA","Payment Success","573407"
"5988","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/201271","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2372267"
