"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"19608","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61239","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19609","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61258","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19610","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61262","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19611","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61317","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19612","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61264","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19613","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61278","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19614","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61282","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19615","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61284","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19616","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61285","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19617","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61313","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","22-Oct-2024","RAHISH WARSI","Payment Success","229729"
"19618","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/155041","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","27-Jan-2025","RAHISH WARSI","Payment Success","195338"
"19619","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/155039","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","04-Feb-2025","RAHISH WARSI","Payment Success","249976"
"19620","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61289","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","23-Oct-2024","RAHISH WARSI","Payment Success","569586"
"19621","Uttar Pradesh","Lighting of public spaces","WS/MP849/2025-2026/191284","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","20-Jun-2025","RAHISH WARSI","Payment Success","2518267"
"19622","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60017","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","16-May-2025","RAHISH WARSI","Payment Success","408105"
"19623","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60008","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","16-May-2025","RAHISH WARSI","Payment Success","407807"
"19624","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60015","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","17-May-2025","RAHISH WARSI","Payment Success","408091"
"19625","Uttar Pradesh","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP849/2023-2024/60016","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","17-May-2025","RAHISH WARSI","Payment Success","408091"
"19626","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/137715","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","20-May-2025","SKANDA GROUP","Payment Success","899911"
"19627","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/137713","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","20-May-2025","SKANDA GROUP","Payment Success","249976"
"19628","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136167","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","20-May-2025","SKANDA GROUP","Payment Success","649935"
"19629","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/137722","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","20-May-2025","SKANDA GROUP","Payment Success","549946"
"19630","Uttar Pradesh","Lighting of public spaces","WS/MP849/2024-2025/136150","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","20-May-2025","SKANDA GROUP","Payment Success","649935"
"19631","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/60035","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","23-Oct-2024","SKANDA GROUP","Payment Success","229729"
"19632","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61210","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","23-Oct-2024","SKANDA GROUP","Payment Success","229729"
"19633","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61221","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","23-Oct-2024","SKANDA GROUP","Payment Success","229729"
"19634","Uttar Pradesh","Lighting of public spaces","WS/MP849/2025-2026/193501","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","19-Jun-2025","SKANDA GROUP","Payment Success","1958653"
"19635","Uttar Pradesh","Lighting of public spaces","WS/MP849/2025-2026/191285","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","19-Jun-2025","SKANDA GROUP","Payment Success","2238460"
"19636","Uttar Pradesh","Lighting of public spaces","WS/MP849/2025-2026/194284","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","20-Jun-2025","SKANDA GROUP","Payment Success","559616"
"19637","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61216","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","23-Oct-2024","SKANDA GROUP","Payment Success","229729"
"19638","Uttar Pradesh","Lighting of public spaces","WS/MP849/2023-2024/61226","AURAIYA(DISTRICT MAGISTRATE AURAIYA_IDA)","Smt. Geeta alias Chandraprabha (2020-26) (2020-2026)","Elected MP","23-Oct-2024","SKANDA GROUP","Payment Success","229729"
