"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1422","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP743/2024-2025/143099","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","23-Jan-2025","T PRABHAKARAN","Payment Success","400000"
"1423","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP743/2024-2025/143098","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","23-Jan-2025","T PRABHAKARAN","Payment Success","400000"
"1424","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP18184/2025-2026/163645","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","24-Dec-2025","DHIVYA K","Payment Success","996993"
"1425","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/161845","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","21-Jan-2026","H Srihari","Payment Success","999390"
"1426","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18184/2026-2027/161844","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","06-Jul-2026","PRS BROTHERS","Payment Success","1822694"
"1427","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/211730","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","10-Mar-2026","PRS BROTHERS","Payment Success","798565"
"1428","Tamil Nadu","Construction of common work sheds/ common covered sitting area","WS/MP18184/2025-2026/163646","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","03-Oct-2025","KAMATCHI KANIYAPPAN","Payment Success","1199626"
"1429","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/163648","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","27-Oct-2025","KARTHIKA M","Payment Success","998525"
"1430","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/161840","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","13-Oct-2025","suriyakumar S D","Payment Success","391511"
"1431","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/161840","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","07-Aug-2025","suriyakumar S D","Payment Success","1107988"
"1432","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2026-2027/212002","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","22-Jul-2026","PRAKASH P","Payment Success","1198367"
"1433","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2026-2027/212004","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","22-Jul-2026","RENGAMALAI PERUMALTHEVAR","Payment Success","1199609"
"1434","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2026-2027/211996","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","21-Jul-2026","P RAJAMANI","Payment Success","1199025"
"1435","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2026-2027/210959","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","21-Jul-2026","PERUMAL P","Payment Success","999494"
"1436","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/212000","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","11-Feb-2026","SUBRAMANI V","Payment Success","799688"
"1437","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/212001","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","02-Apr-2026","MARIRAJA N","Payment Success","1199097"
"1438","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/210957","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","10-Apr-2026","JJ LALA PROJECTS PRIVATE LIMITED","Payment Success","398746"
"1439","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/161789","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","19-Aug-2025","JJ LALA PROJECTS PRIVATE LIMITED","Payment Success","1499726"
"1440","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/161788","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","07-Aug-2025","MANI M","Payment Success","998668"
"1441","Tamil Nadu","Construction of community centers and community halls","WS/MP18184/2025-2026/161790","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","29-Sep-2025","JJ LALA PROJECTS PRIVATE LIMITED","Payment Success","1199620"
"1442","Tamil Nadu","Installing community drinking water plants","WS/MP747/2025-2026/214893","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","18-Mar-2026","BLUENEST SERVICES","Payment Success","754628"
"1443","Tamil Nadu","Installing tube-wells and borewells","WS/MP747/2025-2026/181392","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","05-Dec-2025","Ajithkumar P","Payment Success","542342"
"1444","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2025-2026/181393","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","24-Feb-2026","KANNUSAMY AND CO","Payment Success","1296034"
"1445","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2025-2026/195858","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","27-Feb-2026","Jeyamani","Payment Success","1297509"
"1446","Tamil Nadu","Lighting of public spaces","WS/MP747/2025-2026/242053","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","14-Mar-2026","SREE THIRUPATHI MARKETING","Payment Success","830882"
"1447","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2026-2027/195862","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","22-Jul-2026","Jeeva S","Payment Success","2497826"
"1448","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2026-2027/207544","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","10-Jul-2026","KARUPPAIAH T","Payment Success","699704"
"1449","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2025-2026/205090","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","19-Jan-2026","RAJESHWARI R","Payment Success","998423"
"1450","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2025-2026/195916","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","09-Jan-2026","S VELPANDI","Payment Success","998111"
"1451","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/181390","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","09-Apr-2026","NAGARANI","Payment Success","748353"
"1452","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP747/2025-2026/178088","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","09-Apr-2026","KALIDASAN","Payment Success","748994"
"1453","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2026-2027/181382","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-Jul-2026","RAMAMOORTHY K S","Payment Success","1295996"
"1454","Tamil Nadu","Construction of community centers and community halls","WS/MP740/2026-2027/140341","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","20-May-2026","C Chithambaram","Payment Success","1400000"
"1455","Tamil Nadu","Construction of community centers and community halls","WS/MP740/2026-2027/203994","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","20-May-2026","C Chithambaram","Payment Success","1800000"
"1456","Tamil Nadu","Construction of community centers and community halls","WS/MP740/2026-2027/140334","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","12-Jun-2026","JAI CONSTRUCTION","Payment Success","1400000"
"1457","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18182/2025-2026/152307","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","13-May-2025","PSR Constraction","Payment Success","2000000"
"1458","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161282","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","07-Jul-2025","SUPER ELECTRICALS","Payment Success","414704"
"1459","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161283","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","07-Jul-2025","SUPER ELECTRICALS","Payment Success","414704"
"1460","Tamil Nadu","Street lights","WS/MP18182/2025-2026/161284","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","07-Jul-2025","SUPER ELECTRICALS","Payment Success","414704"
"1461","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2025-2026/204837","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","11-Jun-2026","DAWOOD ENTERPRISES","Payment Success","2281918"
"1462","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18384/2024-2025/177839","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","29-Jul-2025","B GNANAVEL CONTRACTOR","Payment Success","999900"
"1463","Tamil Nadu","Construction of community centers and community halls","WS/MP18183/2024-2025/140772","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","MURASOLI S","THANJAVUR","18-Feb-2025","RASU AGENCY","Payment Success","802236"
"1464","Tamil Nadu","Construction of community centers and community halls","WS/MP18183/2024-2025/140772","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","MURASOLI S","THANJAVUR","25-Apr-2025","RASU AGENCY","Payment Success","383900"
"1465","Tamil Nadu","Construction of footpaths and pedestrian ways","WS/MP18384/2024-2025/177838","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","17-Jun-2025","VSR CONSTRUCTIONS","Payment Success","1099773"
"1466","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2025-2026/204837","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","05-Mar-2026","DAWOOD ENTERPRISES","Payment Success","1711065"
"1467","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18384/2026-2027/292762","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","08-Jul-2026","NANDHINI CONSTRUCTION","Payment Success","577937"
"1468","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2025-2026/204838","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","13-Jul-2026","KAVITHA","Payment Success","514468"
"1469","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2025-2026/204838","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","09-Jan-2026","KAVITHA","Payment Success","285532"
"1470","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2025-2026/204840","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","09-Jan-2026","KAVITHA","Payment Success","285532"
"1471","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18384/2025-2026/204840","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","13-Jun-2026","KAVITHA","Payment Success","514004"
"1472","Tamil Nadu","Construction of community centers and community halls","WS/MP740/2025-2026/160942","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","29-Aug-2025","V Radhakrishnan","Payment Success","1500000"
"1473","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP740/2025-2026/219239","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","25-Sep-2025","V Radhakrishnan","Payment Success","999759"
"1474","Tamil Nadu","Construction of footpaths and pedestrian ways","WS/MP740/2025-2026/204058","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","21-Nov-2025","P Annamalai","Payment Success","1499551"
"1475","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP740/2025-2026/160938","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","16-Oct-2025","Bheeman","Payment Success","499703"
"1476","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP740/2025-2026/204038","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","28-Nov-2025","Bheeman","Payment Success","499706"
"1477","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP740/2025-2026/160940","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","12-Sep-2025","BEEMAN DHARUAINGAN","Payment Success","249870"
"1478","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP740/2025-2026/160941","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","15-Sep-2025","Bheeman","Payment Success","228919"
"1479","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP740/2025-2026/181319","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","03-Jul-2025","Bheeman","Payment Success","499510"
"1480","Tamil Nadu","Construction of community centers and community halls","WS/MP740/2025-2026/160996","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","17-Nov-2025","RPN CONSTRUCTIONS","Payment Success","1600000"
"1481","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP740/2025-2026/160945","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","19-Aug-2025","SIVAPRAKASAM","Payment Success","499995"
"1482","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP740/2025-2026/160959","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","20-Dec-2025","THILAKAVALLI","Payment Success","299076"
"1483","Tamil Nadu","Installing tube-wells and borewells","WS/MP740/2025-2026/160957","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","13-May-2026","ALEX MATHEW","Payment Success","500000"
"1484","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP740/2025-2026/204061","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","16-Oct-2025","VISHNU H","Payment Success","499372"
"1485","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP740/2025-2026/204060","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","16-Oct-2025","MANOGARAN P","Payment Success","498895"
"1486","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP740/2025-2026/160949","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","16-Oct-2025","AKILESH R","Payment Success","499809"
"1487","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP740/2025-2026/160955","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","14-Oct-2025","DINESH A","Payment Success","499890"
"1488","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP740/2025-2026/160951","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","14-Oct-2025","Benny VP","Payment Success","499873"
"1489","Tamil Nadu","Construction of footpaths and pedestrian ways","WS/MP740/2025-2026/160953","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","14-Mar-2026","ALEX MATHEW","Payment Success","199684"
"1490","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP747/2025-2026/223309","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","16-Apr-2026","KAMATCHIRAJAN K","Payment Success","1635146"
"1491","Tamil Nadu","Lighting of public spaces","WS/MP747/2025-2026/207543","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","06-Oct-2025","VEENA ENTERPRISES","Payment Success","722960"
"1492","Tamil Nadu","Lighting of public spaces","WS/MP747/2025-2026/223312","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","12-Dec-2025","VEENA ENTERPRISES","Payment Success","826112"
"1493","Tamil Nadu","Lighting of public spaces","WS/MP747/2025-2026/223311","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","12-Dec-2025","VEENA ENTERPRISES","Payment Success","826112"
"1494","Tamil Nadu","Purchase of furniture and fixtures for educational purposes","WS/MP747/2025-2026/231794","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","15-Dec-2025","M KASIVISWANATHAN","Payment Success","296140"
"1495","Tamil Nadu","Construction of toilet blocks","WS/MP747/2025-2026/181336","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","21-Jan-2026","KAMATCHIRAJAN K","Payment Success","958504"
"1496","Tamil Nadu","Construction of toilet blocks","WS/MP747/2025-2026/181336","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","21-Aug-2025","KAMATCHIRAJAN K","Payment Success","1541496"
"1497","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP747/2025-2026/223309","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","12-Jan-2026","KAMATCHIRAJAN K","Payment Success","864854"
"1498","Tamil Nadu","Lighting of public spaces","WS/MP747/2025-2026/195941","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","18-Sep-2025","SREE THIRUPATHI MARKETING","Payment Success","447049"
"1499","Tamil Nadu","Lighting of public spaces","WS/MP747/2025-2026/205135","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","18-Sep-2025","SREE THIRUPATHI MARKETING","Payment Success","447049"
"1500","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2024-2025/136681","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","04-Apr-2025","V NATHAN","Payment Success","2036727"
"1501","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2024-2025/136681","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-May-2025","V NATHAN","Payment Success","463273"
"1502","Tamil Nadu","Construction of community centers and community halls","WS/MP758/2025-2026/256943","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","27-Jun-2026","SELVARAJ R","Payment Success","1048762"
"1503","Tamil Nadu","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP758/2025-2026/213692","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","05-Mar-2026","SELVARAJ R","Payment Success","1342754"
"1504","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/168931","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","07-Apr-2025","SEIYYON VENTURES","Payment Success","799600"
"1505","Tamil Nadu","Purchase of sports equipment","WS/MP758/2025-2026/175009","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","19-Aug-2025","ASIAN SPORTS","Payment Success","69080"
"1506","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18185/2025-2026/180058","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","28-Jan-2026","Bathmasingh Selva Meeran","Payment Success","699728"
"1507","Tamil Nadu","Lighting of public spaces","WS/MP751/2025-2026/180896","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","27-May-2026","N NALLATHAMBI","Payment Success","395921"
"1508","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP751/2025-2026/227626","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","26-May-2026","Arunachaleswarar Construction","Payment Success","1196125"
"1509","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2025-2026/180903","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","12-Jun-2026","AM Construction","Payment Success","699778"
"1510","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2025-2026/180907","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","12-Jun-2026","AM Construction","Payment Success","699896"
"1511","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP751/2026-2027/206066","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","12-Jun-2026","Sendhuran","Payment Success","799780"
"1512","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2025-2026/206055","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","25-May-2026","VM TRADERS","Payment Success","699648"
"1513","Tamil Nadu","Installing tube-wells and borewells","WS/MP751/2025-2026/235291","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","20-Jul-2026","PANDIARAJAN G K","Payment Success","499420"
"1514","Tamil Nadu","Lighting of public spaces","WS/MP751/2025-2026/206184","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","24-Dec-2025","N K MARI","Payment Success","389598"
"1515","Tamil Nadu","Installing tube-wells and borewells","WS/MP751/2025-2026/262380","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","16-Mar-2026","AVS and Construction","Payment Success","299700"
"1516","Tamil Nadu","Development of playground","WS/MP751/2025-2026/262389","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","16-Mar-2026","AVS and Construction","Payment Success","547946"
"1517","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18184/2025-2026/211729","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","12-Aug-2026","N K MARI","Payment Success","798824"
"1518","Tamil Nadu","Setting up of kitchen and pantries","WS/MP751/2025-2026/206147","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","24-Jun-2026","N K MARI","Payment Success","499447"
"1519","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP751/2025-2026/236466","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","07-Mar-2026","C SIVAKUMAR","Payment Success","1498968"
"1520","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2026-2027/295239","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","15-Jul-2026","MURUGAN A","Payment Success","499500"
"1521","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP751/2025-2026/237068","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","05-May-2026","MANAVALAN S","Payment Success","998783"
"1522","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2024-2025/136647","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","15-Dec-2025","SRI ARUPADAI VELAVAN WATER SUPPLY","Payment Success","1043853"
"1523","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP747/2025-2026/214894","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","09-Apr-2026","MURUGAN A","Payment Success","998921"
"1524","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2025-2026/195936","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","12-Jan-2026","SUNDARAMOORTHY P","Payment Success","610516"
"1525","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2025-2026/195936","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","04-Nov-2025","SUNDARAMOORTHY P","Payment Success","739119"
"1526","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2024-2025/136647","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-Jul-2025","SRI ARUPADAI VELAVAN WATER SUPPLY","Payment Success","1326562"
"1527","Tamil Nadu","Construction of community centers and community halls","WS/MP747/2024-2025/135704","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","08-Jul-2025","MURUGAN A","Payment Success","2495751"
"1528","Tamil Nadu","Construction of public toilets and bathrooms","WS/MP747/2025-2026/195994","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Manickam Tagore B","VIRUDHUNAGAR","23-Sep-2025","SUNDARAMOORTHY P","Payment Success","698386"
"1529","Tamil Nadu","Construction of community centers and community halls","WS/MP751/2025-2026/206185","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","S Venkatesan","MADURAI","27-Jan-2026","POOMPANDI P","Payment Success","1271064"
