"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"757","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202497","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","03-Sep-2025","GK ENTERPRISES","Payment Success","625000"
"758","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202496","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","04-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
"759","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202499","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","04-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
"760","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202479","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","03-Sep-2025","RAJAGOPALREDDY VEMANNA","Payment Success","625000"
"761","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202498","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","03-Sep-2025","GK ENTERPRISES","Payment Success","625000"
"762","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202484","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","03-Sep-2025","RAJAGOPALREDDY VEMANNA","Payment Success","625000"
"763","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202480","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","03-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
"764","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202486","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","03-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
"765","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202493","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","03-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
"766","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202494","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","04-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
"767","Tamil Nadu","Setting up of laboratories","WS/MP756/2025-2026/202495","Ariyalur(District Collector Ariyalur_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","04-Sep-2025","DIAMOND ENTERPRISES","Payment Success","625000"
"768","Tamil Nadu","Lighting of public spaces","WS/MP18182/2025-2026/214689","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","14-Jan-2026","Madasamy A","Payment Success","900000"
"769","Tamil Nadu","Construction of public libraries and reading rooms","WS/MP758/2025-2026/203074","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","13-Jul-2026","MURUGESAN V","Payment Success","1567311"
"770","Tamil Nadu","Purchase of IT systems, including hardware and software for educational purposes","WS/MP758/2025-2026/242878","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","25-Feb-2026","SEIYYON VENTURES","Payment Success","199900"
"771","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201207","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","26-Sep-2025","SEIYYON VENTURES","Payment Success","199900"
"772","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201516","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","26-Sep-2025","SEIYYON VENTURES","Payment Success","199900"
"773","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201517","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","26-Sep-2025","SEIYYON VENTURES","Payment Success","199900"
"774","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP758/2025-2026/175012","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","09-Jan-2026","KANDASAMY  V","Payment Success","799556"
"775","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/220659","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","30-Jan-2026","KANAGARAJ S","Payment Success","799685"
"776","Tamil Nadu","Construction of buildings for community cultural activities","WS/MP393/2025-2026/181265","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","27-Oct-2025","R Saravanan Contractor","Payment Success","1449247"
"777","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP393/2024-2025/152373","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","19-Nov-2024","MUTHUVEL N","Payment Success","499714"
"778","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP393/2024-2025/144136","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-Oct-2024","ANBARASAN CONTRACTOR","Payment Success","199674"
"779","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2024-2025/145379","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-Oct-2024","R RAMACHANDRAN Contractor","Payment Success","299787"
"780","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/206456","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","18-Feb-2026","SAKTHIVEL K","Payment Success","799527"
"781","Tamil Nadu","Construction of community centers and community halls","WS/MP393/2025-2026/220660","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Shri Karti P Chidambaram","SIVAGANGA","08-May-2026","ARUMUGAM","Payment Success","794721"
"782","Tamil Nadu","Construction of water tanks","WS/MP18394/2025-2026/213194","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","05-Feb-2026","RAJAVEL","Payment Success","1849900"
"783","Tamil Nadu","Installing community drinking water plants","WS/MP18267/2025-2026/178740","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","20-Mar-2026","Sivajaganathan G","Payment Success","942358"
"784","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18267/2026-2027/260588","KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA)","GOPINATH K","KRISHNAGIRI","15-May-2026","Anadhan Contractor","Payment Success","538463"
"785","Tamil Nadu","Construction of common work sheds/ common covered sitting area","WS/MP457/2025-2026/242919","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","04-Jul-2026","R ANBARASU","Payment Success","2000000"
"786","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP457/2025-2026/217272","KALLAKURICHI(District Collector Kallakurichi_IDA)","D Ravikumar","VILUPPURAM(SC)","23-Sep-2025","SHERIN ENTERPRISES","Payment Success","200000"
