"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1631","Normal/Others","WS/MP18186/2025-2026/170897-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","Vengathur Panchayat Kabilan nagar, Alagiri street cemet road","05-Feb-2025","30-Apr-2025","997894","Physical Inspection"
"1632","Normal/Others","WS/MP756/2025-2026/171128-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Providing Asphalt Road at AD Street Koodalur Panchayat in Alathur Block.","31-Jan-2025","21-Nov-2025","1900000","Work Completed"
"1633","Normal/Others","WS/MP756/2025-2026/176317-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Providing Cement Road 150 M at Puliyangudi Village Thenharirajapuram Panchayat in Keerapalayam Block.","18-Feb-2025","24-Jun-2025","999472","Physical Inspection"
"1634","Normal/Others","WS/MP746/2025-2026/177671-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA)","Kani K Navas","RAMANATHAPURAM","Providing of Paver Block Road from  near by Union Office Ward No.11 at Kariapatti Town Pt","27-Jun-2025","05-Aug-2025","1000000","Work Completed"
"1635","Normal/Others","WS/MP18384/2025-2026/177858-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THIRUVARUR(DISTRICT COLLECTOR THIRUVARUR_IDA)","SELVARAJ V","NAGAPATTINAM(SC)","Improvement of BT to Ganthi Nagar to Thajudeen Nagar in Poonthottam Village in Agarathirumalam Panchayat","26-Feb-2025","30-Jul-2025","1195787","Physical Inspection"
"1636","Normal/Others","WS/MP18185/2025-2026/179419-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Providing Paver block Road at Kamarajpuram ward No.03 in Kalakadu Municipality","05-Mar-2025","10-Nov-2025","1703444","Physical Inspection"
"1637","Normal/Others","WS/MP18185/2025-2026/179420-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Providing Paver Block and Construction of Drainage and Culvert at Manjuvillai South street 1st Part at Ward No.2 in Kalakadu Municipality.","05-Mar-2025","10-Nov-2025","1403200","Physical Inspection"
"1638","Normal/Others","WS/MP18181/2025-2026/179576-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","Providing Cement concrete pavement at Maariamman kovil Maithanam front side in Thondamuthur Town Panacahayat","06-Mar-2025","09-Sep-2025","1700000","Physical Inspection"
"1639","Normal/Others","WS/MP18185/2025-2026/179805-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Manur Panchayat Union, Pallikkottai Panchayat Pallamadai Ricemill Street Construction of Paver Block Road","12-Mar-2025","25-Oct-2025","983686","Physical Inspection"
"1640","Normal/Others","WS/MP18185/2025-2026/179846-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Construction of a 94 meter,long paver block road on Jagannathan Ramachandran House Street, Thoppur, Kovilammalpuram Village, Kalakkadu Panchayat Union.","12-Mar-2025","15-Sep-2025","449831","Physical Inspection"
"1641","Normal/Others","WS/MP18185/2025-2026/180055-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Laying of colored stones for a length of 300 meters from Cheranmahadevi Town Panchayat, 14th Ward Veterinary Hospital to Railway Lion Street (JVR Nagar)","12-Mar-2025","27-Jan-2026","433714","Physical Inspection"
"1642","Normal/Others","WS/MP18186/2025-2026/181214-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","Construction of CC road at Minjur Block Kottikuppam","07-Apr-2025","25-Apr-2025","999513","Physical Inspection"
"1643","Normal/Others","WS/MP740/2025-2026/181319-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THE NILGIRIS(DISTRICT COLLECTOR NILGIRIS_IDA)","Andimuthu Raja","NILGIRIS(SC)","Providing Cement Concrete Platform in front of Multipurpose Building at Kavilorai Village at Nedugala Panchayat","08-Apr-2025","03-Jul-2025","499510","Physical Inspection"
"1644","Normal/Others","WS/MP745/2024-2025/181799-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","PATTLUR PANCHAYAT - PROVIDING CC ROAD FROM BOMMANPATTI TO PERUMAL KOVIL -ERODE DISTRICT","13-Mar-2025","13-Mar-2025","2014990","Physical Inspection"
"1645","Normal/Others","WS/MP18180/2025-2026/184780-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUCHIRAPPALLI(DISTRICT COLLECTOR TIRUCHIRAPPALLI_IDA)","ARUN NEHRU","PERAMBALUR","BT Road from Main road to Admin Block of Agricultural Engineering College and Research Institute at Kumulur pt Pullambadi PU (2024-2025)","20-Mar-2025","25-Jul-2025","2499863","Physical Inspection"
"1646","Normal/Others","WS/MP18394/2024-2025/185249-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Namakkal Panchayat Union Paver Block Construction at Naruvalur Panchayat Union Primary School (Length 12 m x Width 14 m)","21-Mar-2025","26-Mar-2025","435997","Physical Inspection"
"1647","Normal/Others","WS/MP508/2025-2026/189208-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block From Kumar House To Rajambal House At Pudur Colony (55m) In Sevathi Panchayat","21-Apr-2025","16-Sep-2025","249500","Physical Inspection"
"1648","Normal/Others","WS/MP508/2025-2026/189211-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Interlocking Paver Block From Subramani Veedu To Dhandapalli At Pulikuthivattam HO Matrapalli Panchayat","21-Apr-2025","16-Sep-2025","296380","Physical Inspection"
"1649","Normal/Others","WS/MP508/2025-2026/189215-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC pavement from Murugan House to Perumal House at Pudhu Poongulam A.K. Mottur Panchayat","21-Apr-2025","02-Jul-2025","124812","Physical Inspection"
"1650","Normal/Others","WS/MP508/2025-2026/189221-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Interlocking Paver Block From Sankar house to Krishnan house and Babu house to Ramesh house at Konapattu Ho Konapattu","21-Apr-2025","20-Jun-2025","360281","Physical Inspection"
"1651","Normal/Others","WS/MP508/2025-2026/189222-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Interlocking Paver Block From Panchayat office Street at Agraharam Ho Agraharam","21-Apr-2025","20-Jun-2025","400000","Work Completed"
"1652","Normal/Others","WS/MP508/2025-2026/189225-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Interlocking Paver Block From Mariyamman Koil  to Ranjitham house at ad colony  Ho Kaveripattu","21-Apr-2025","20-Jun-2025","200000","Work Completed"
"1653","Normal/Others","WS/MP508/2025-2026/189226-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing cc road from Seenu house to  Mariyamman Koil   at ad colony  Ho Kethandapatti","21-Apr-2025","16-Sep-2025","200000","Work Completed"
"1654","Normal/Others","WS/MP743/2025-2026/190874-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Construction of CC Road at Bairavar Kovil Street, Vembedu Panchayat","12-Apr-2025","18-Sep-2025","999474","Physical Inspection"
"1655","Normal/Others","WS/MP18182/2025-2026/195610-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing Black topping road from Kms 0-0 to 0-260  at Periya panayankulam pond shores in Nainaragaram Village in Kadayanallur Panchayat Union","23-May-2025","05-Jul-2025","2488445","Physical Inspection"
"1656","Normal/Others","WS/MP18182/2025-2026/195611-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing Black topping road from Kms 0-520 to 0-780 at Periya panayankulam pond shores in Nainaragaram Village in Kadayanallur Panchayat Union","23-May-2025","05-Jul-2025","2494268","Physical Inspection"
"1657","Normal/Others","WS/MP18182/2025-2026/195613-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing Black topping road from Kms 0-780 to 0-1040 at Periya panayankulam pond shores in Nainaragaram Village in Kadayanallur Panchayat Union","23-May-2025","14-Jul-2025","2485825","Physical Inspection"
"1658","Normal/Others","WS/MP508/2025-2026/196050-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC Pavement in PUES near at Kalkuppam Panchayat","02-May-2025","16-Jul-2025","299856","Physical Inspection"
"1659","Normal/Others","WS/MP18186/2025-2026/197020-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","Construction of Compound wall at Tiruvalangadu Higher secondary school, Tiruvalangadu Block","06-May-2025","18-Sep-2025","1594278","Physical Inspection"
"1660","Normal/Others","WS/MP508/2025-2026/197296-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC pavement in Ganapathy Nagar Kaliamman kovil near at Kalkuppam Panchayat","07-May-2025","16-Jul-2025","299910","Physical Inspection"
"1661","Normal/Others","WS/MP508/2025-2026/197297-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC pavement in Pasarai kottai at Kuppam Panchayat","07-May-2025","16-Jul-2025","299880","Physical Inspection"
"1662","Normal/Others","WS/MP508/2025-2026/197298-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC Pavement in A.K.Padavedu Kuravar palayam at Padavedu Panchayat","07-May-2025","16-Jul-2025","199588","Physical Inspection"
"1663","Normal/Others","WS/MP508/2025-2026/197300-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC pavement in Kampattu Panchayat","07-May-2025","10-Jul-2025","299715","Physical Inspection"
"1664","Normal/Others","WS/MP508/2025-2026/197302-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC Pavement in Kanthapalayam Panchayat","07-May-2025","10-Jul-2025","299790","Physical Inspection"
"1665","Normal/Others","WS/MP508/2025-2026/197380-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing CC Pavement in Velayautham nagar at C.Gengampattu","07-May-2025","30-Jun-2025","299560","Physical Inspection"
"1666","Normal/Others","WS/MP017/2025-2026/202449-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","cement road","22-May-2025","13-Mar-2026","2500000","Physical Inspection"
"1667","Normal/Others","WS/MP745/2025-2026/202592-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","providing to compound wall at 11 ward kanjikkovil peruratchi, erode district","22-May-2025","30-Aug-2025","1100000","Physical Inspection"
"1668","Normal/Others","WS/MP745/2025-2026/202617-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","providing to conkriit road at neru street to kaliyannan vedu varai at gettisamudiram,anthiyur,erode","22-May-2025","23-Sep-2025","320000","Physical Inspection"
"1669","Normal/Others","WS/MP745/2025-2026/202618-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","providing to congreet road krishna puram to senthil veedu varai at gettisamudram,anthiyuur,erode","22-May-2025","31-Oct-2025","270000","Physical Inspection"
"1670","Normal/Others","WS/MP745/2025-2026/202620-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","K Subbarayan","TIRUPPUR","Construction of CC road in Vellai Pillaiyar Kovil church to Chithamalai at Gettisamudram panchayat in Andhiyur Block in Erode District","22-May-2025","23-Sep-2025","599926","Physical Inspection"
"1671","Normal/Others","WS/MP18182/2025-2026/202649-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing a Cement Concrete pavement at Pon Nagar in karivalamvanthanallur Village and Panchayat in Sanakarankovil Panchayat Union","23-May-2025","22-Oct-2025","999621","Physical Inspection"
"1672","Normal/Others","WS/MP18182/2025-2026/202651-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing a Cement Concrete pavement at South Street in Indhira Colony of Keelaneelithanallur Village and Panchayat in Melaneelithanallur Panchayat Union","23-May-2025","17-Sep-2025","599558","Physical Inspection"
"1673","Normal/Others","WS/MP18182/2025-2026/202652-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TENKASI(DISTRICT COLLECTOR TENKASI_IDA)","DR RANI SRI KUMAR","TENKASI(SC)","Providing a Cement Concrete pavement at Samynathapuram Colony in Keelaneelithanallur Village and Panchayat in Melaneelithanallur Panchayat Union","23-May-2025","17-Sep-2025","999441","Physical Inspection"
"1674","Normal/Others","WS/MP508/2026-2027/202681-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block from Muneeswaran Koil to Govindasamy House in Valur Village at Paniyandapalli Panchayat.","22-May-2025","18-Jun-2026","200000","Physical Inspection"
"1675","Normal/Others","WS/MP508/2025-2026/202685-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block for Thappattakaran Vattam in Somanaickenpatti Panchayat.","22-May-2025","28-Nov-2025","500000","Work Completed"
"1676","Normal/Others","WS/MP508/2025-2026/202687-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Cement Road from Magesh House to Thiyagu House in Kaveripattu Village at Kaveripattu Panchayat.","22-May-2025","07-Oct-2025","500000","Physical Inspection"
"1677","Normal/Others","WS/MP508/2025-2026/202688-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Cement Road from Magendran House in Anumampatti Village at Mandalavadi Panchayat.","22-May-2025","28-Nov-2025","495661","Physical Inspection"
"1678","Normal/Others","WS/MP508/2025-2026/202690-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block in V.M. Vattam at Ammaiyappanagar Panchayat.","22-May-2025","28-Nov-2025","399609","Physical Inspection"
"1679","Normal/Others","WS/MP508/2025-2026/202692-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block in Jaibeem Nagar Adhidravidar Colony at Pachal Panchayat.","22-May-2025","28-Nov-2025","400000","Work Completed"
"1680","Normal/Others","WS/MP508/2025-2026/202693-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block from Porakizhavan  Vattam to Palkaran Vattam at Elagiri Village Panchayat.","22-May-2025","28-Nov-2025","394863","Physical Inspection"
"1681","Normal/Others","WS/MP508/2025-2026/202695-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block in Mel Thoppalagunda Village at Thoppalagunda Panchayat.","22-May-2025","30-Sep-2025","399600","Physical Inspection"
"1682","Normal/Others","WS/MP508/2025-2026/202696-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block in Adhidravidar Colony at Nayanaseruvu Panchayat.","22-May-2025","30-Sep-2025","399349","Physical Inspection"
"1683","Normal/Others","WS/MP508/2025-2026/202697-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block in Puthumanai at Nallakindanapalli Village at Nayanaseruvu Panchayat.","22-May-2025","21-Nov-2025","399600","Physical Inspection"
"1684","Normal/Others","WS/MP508/2025-2026/202700-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","CN Annadurai","TIRUVANNAMALAI","Providing Paver Block from MGR House to Raja House in Periyagaram Village at Periyagaram Panchayat.","22-May-2025","21-Nov-2025","450000","Physical Inspection"
"1685","Normal/Others","WS/MP18173/2025-2026/209147-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Annai Indira Street at Chitheri Sivasakthi Nagar in Velapadi Panchayat","08-Jul-2025","20-Jan-2026","299880","Physical Inspection"
"1686","Normal/Others","WS/MP18173/2025-2026/211108-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of Side Drainage and Cement Concrete Pavement at Arani Town Ward No.19","08-Jul-2025","08-Dec-2025","499395","Physical Inspection"
"1687","Normal/Others","WS/MP18173/2025-2026/211109-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement paver block in Ward No.10, Santhaimedu, Arani Municipality","08-Jul-2025","12-Dec-2025","300000","Physical Inspection"
"1688","Normal/Others","WS/MP18173/2025-2026/211110-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Perumal Koil Street at kizhnaickanpalayam Panchayat","08-Jul-2025","19-Sep-2025","498815","Physical Inspection"
"1689","Normal/Others","WS/MP18173/2026-2027/211113-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Kanikiluppai ADC in Vembakkam block","08-Jul-2025","15-May-2026","697170","Physical Inspection"
"1690","Normal/Others","WS/MP18173/2025-2026/211117-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Raman Nagar, Ward No.24 at Thiruvethipuram (Cheyyar)","08-Jul-2025","26-Nov-2025","500000","Physical Inspection"
"1691","Normal/Others","WS/MP18173/2025-2026/211119-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Asthinapuram Padasalai Veethi at Thellar Panchayat","08-Jul-2025","26-Sep-2025","299697","Physical Inspection"
"1692","Normal/Others","WS/MP18173/2025-2026/211121-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Kamaraj Nagar 1st Cross Street at Thellar Panchayat","08-Jul-2025","26-Sep-2025","499700","Physical Inspection"
"1693","Normal/Others","WS/MP18173/2025-2026/211124-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Ammaichar Amman Koil at Thenvanakkambadi Panchayat","08-Jul-2025","26-Sep-2025","199980","Physical Inspection"
"1694","Normal/Others","WS/MP18173/2025-2026/211125-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement at Thellar OPR ADC in Thellar block","08-Jul-2025","19-Jan-2026","199882","Physical Inspection"
"1695","Normal/Others","WS/MP18173/2025-2026/211128-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Yadhavar Street at Sembur Panchayat","08-Jul-2025","10-Sep-2025","199920","Physical Inspection"
"1696","Normal/Others","WS/MP18173/2025-2026/211131-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Pavement in Mariyamman Koil Street at Kilseeshamangalam Panchayat","08-Jul-2025","10-Sep-2025","199980","Physical Inspection"
"1697","Normal/Others","WS/MP18394/2025-2026/209304-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of cement concrete road from Rise Mill to Anganwadi in Namagiripettai Panchayat Union, Aailpatti Panchayat length 45 m x width 4 m","16-Jun-2025","24-Jun-2025","309584","Physical Inspection"
"1698","Normal/Others","WS/MP18384/2025-2026/210405-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","SELVARAJ V","NAGAPATTINAM(SC)","Providing 2 layer WBM and BT Road for Nallamuthu Muthaliyar Street at Sikkal Panchayat KM 0-0-0-311","19-Jun-2025","27-Nov-2025","1000000","Physical Inspection"
"1699","Normal/Others","WS/MP18384/2026-2027/210406-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","SELVARAJ V","NAGAPATTINAM(SC)","PROVIDING SINGLE LAYER WBM and BT ROAD FROM THE PILLAYAR KOIL TO BALAIYAN HOME AT SERVAIKARAN THOPPU VADAVUR PANCHAYAT OF NAGAPATTINAM BLOCK 0-0-0-362","19-Jun-2025","15-May-2026","1000000","Physical Inspection"
"1700","Normal/Others","WS/MP18384/2025-2026/210469-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAGAPATTINAM(DISTRICT COLLECTOR NAGAPATTINAM_4)","SELVARAJ V","NAGAPATTINAM(SC)","PROVIDING OF BT ROAD AT PANCHANATHIKULAM WEST KONDANKADU SOUTH NORTH ISTHUBI   SALAI 0-0-0-640","19-Jun-2025","19-Sep-2025","2912000","Work Completed"
"1701","Normal/Others","WS/MP18173/2025-2026/211139-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Providing Cement Concrete Paverment paver blocks in Maruthadu ADC","08-Jul-2025","10-Sep-2025","499900","Physical Inspection"
"1702","Normal/Others","WS/MP18394/2025-2026/213200-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","Construction of a concrete road with drainage in Ward No. 24, Thiruvalluvar Nagar, Tiruchengode Municipality.","28-Jun-2025","14-Jul-2025","730000","Sanction"
