"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"51","Normal/Others","WS/MP740/2025-2026/160531-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of PD Shop at Chikkarasampalayam AD Colony H/O Chikkarasampalayam Panchayat","11-Jan-2025","26-Nov-2025","1183152","Physical Inspection"
"52","Normal/Others","WS/MP740/2025-2026/160532-Construction of community centers and community halls","Tamil Nadu","ERODE(DISTRICT_COLLECTORE_ERODE_IDA)","Andimuthu Raja","NILGIRIS(SC)","Construction of PD Shop at Gettavadi H/O Bynapuram Panchayat","11-Jan-2025","11-Nov-2025","1149993","Physical Inspection"
"53","Normal/Others","WS/MP18184/2025-2026/161789-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","Construction of new Cultural building( Nadaga Medai)","05-Jan-2025","05-Aug-2025","1500000","Work Completed"
"54","Normal/Others","WS/MP18184/2025-2026/161790-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","Construction of new Cultural building( Nadaga Medai)","05-Jan-2025","29-Sep-2025","1200000","Work Completed"
"55","Normal/Others","WS/MP18184/2025-2026/161840-Construction of community centers and community halls","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","THANGA TAMILSELVAN","THENI","Contruction of new Cultural Building (Nadaga Medai)","05-Jan-2025","05-Aug-2025","1500000","Work Completed"
"56","Normal/Others","WS/MP755/2024-2025/163620-Construction of community centers and community halls","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Construction of a Community Hall.","10-Jan-2025","27-Mar-2025","4383000","Work partially Completed"
"57","Normal/Others","WS/MP18312/2025-2026/163727-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","PDS Shop construction at Puduviduthi Pt.","06-Jan-2025","18-Jun-2025","995139","Physical Inspection"
"58","Normal/Others","WS/MP18312/2025-2026/163730-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","Kalaiyarangam construction at Maravapatti (Kavinadu West)","06-Jan-2025","18-Jun-2025","699297","Physical Inspection"
"59","Normal/Others","WS/MP18312/2025-2026/163927-Construction of community centers and community halls","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","DURAI VAIKO","TIRUCHIRAPPALLI","Kunnandarkoil PU, Themmavur VP, Karadivayal- Kalaiyarangam","07-Jan-2025","18-Jun-2025","700000","Sanction"
"60","Normal/Others","WS/MP18173/2025-2026/164085-Construction of community centers and community halls","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","THARANIVENTHAN M S","ARANI","Construction of RCC Building in Prayer Hall at Athimoor  Higher Secondary School in Athimoor Panchayat","08-Jan-2025","01-Aug-2025","1000000","Vendor Identification"
