"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"360","Normal/Others","WS/MP457/2025-2026/235018-Purchase of sports equipment","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","Sports Equipment to Government Higher Secondary School, Sendanadu, Ulundurpettai.","D Ravikumar","VILUPPURAM(SC)","N/A","26-Nov-2025","500000"
"361","Normal/Others","WS/MP457/2025-2026/235019-Purchase of sports equipment","Tamil Nadu","KALLAKURICHI(District Collector Kallakurichi_IDA)","Sports Equipment to Government Higher Secondary School, Pali, Ulundurpettai.","D Ravikumar","VILUPPURAM(SC)","N/A","26-Nov-2025","500000"
"362","Normal/Others","WS/MP457/2025-2026/235159-Setting up of laboratories","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Science Lab Equipments for Government Higher Secondary School, Karuvatchi, Kanai.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","625000"
"363","Normal/Others","WS/MP457/2025-2026/235160-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Govt High School, Kanjanur, Kanai","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"364","Normal/Others","WS/MP457/2025-2026/235161-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Govt Higher secondary school, Virattikuppam, Koliyanur","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"365","Normal/Others","WS/MP457/2025-2026/235162-Setting up of laboratories","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Science Lab equipments for Govt higher secondary school, Arcadu.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","625000"
"366","Normal/Others","WS/MP457/2025-2026/235163-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government Higher Secondary School, Saravanambakkam, Thiruvennainallur.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"367","Normal/Others","WS/MP457/2025-2026/235164-Setting up of laboratories","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Science Lab Equipments for Government Higher Secondary School, Emapper, Thiruvennainallur","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","625000"
"368","Normal/Others","WS/MP457/2025-2026/235165-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government Higher Secondary School, Emapper, Thiruvennainallur","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"369","Normal/Others","WS/MP457/2025-2026/235166-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Kodukkapattu, Mugaiyur","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"370","Normal/Others","WS/MP457/2025-2026/235167-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Nayanur, Mugaiyur","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"371","Normal/Others","WS/MP457/2025-2026/235168-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Ayandur, Mugaiyur.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"372","Normal/Others","WS/MP457/2025-2026/235169-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Arungurukkai, Mugaiyur.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"373","Normal/Others","WS/MP457/2025-2026/235170-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Melakondai, Vikravandi","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"374","Normal/Others","WS/MP457/2025-2026/235171-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Kundalapuliyur, Vikravandi","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"375","Normal/Others","WS/MP457/2025-2026/235172-Purchase of training equipment","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Teaching, Learning materials and sports items for Physically Challenged Government special school, (Day care centre) Koliyanur, Viluppuram","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","550000"
"376","Normal/Others","WS/MP457/2025-2026/235173-Purchase of training equipment","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Teaching, Learning materials and sports items for Physically Challenged Government special school, (Day care centre), Viluppuram","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","550000"
"377","Normal/Others","WS/MP457/2025-2026/235174-Purchase of training equipment","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Teaching, Learning materials and sports items for Physically Challenged Government special school, (Day care centre) Kanai, Vikravandi","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","550000"
"378","Normal/Others","WS/MP457/2025-2026/235175-Purchase of training equipment","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Teaching, Learning materials and sports items for Physically Challenged Government special school, (Day care centre) Vikravandi.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","550000"
"379","Normal/Others","WS/MP457/2025-2026/235176-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government Model Higher Secondary School, Chinnathatchur, Vikravandi","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"380","Normal/Others","WS/MP457/2025-2026/235177-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for ARR Government  higher Secondary school, Karanai, Perichanur, Mugaiyur","D Ravikumar","VILUPPURAM(SC)","N/A","30-Nov-2025","200000"
"381","Normal/Others","WS/MP457/2025-2026/235178-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government  high School, Nallapalayam, Kanai","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"382","Normal/Others","WS/MP457/2025-2026/235179-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Puthu karuvatchi, Kanai","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"383","Normal/Others","WS/MP457/2025-2026/235180-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Kadayam, Kanai","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"384","Normal/Others","WS/MP457/2025-2026/235181-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Kallapattu, Koliyanur.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"385","Normal/Others","WS/MP457/2025-2026/235182-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Kondangi, Koilyanur","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"386","Normal/Others","WS/MP457/2025-2026/235183-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Sozhaganur, Koilyanur.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"387","Normal/Others","WS/MP457/2025-2026/235184-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart Class Room for Government High School, Poyyapakkam, Koliyanur.","D Ravikumar","VILUPPURAM(SC)","N/A","29-Nov-2025","200000"
"388","Normal/Others","WS/MP457/2025-2026/242919-Construction of common work sheds/ common covered sitting area","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","constructing platforms, Sheds, etc at Fish Market in the Bungalow Street of 7th ward in Marakkanam Municipality.","D Ravikumar","VILUPPURAM(SC)","Images","27-Jul-2026","2000000"
"389","Normal/Others","WS/MP457/2025-2026/246206-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Construction of Waiting shed at Kurumapuram graveyard, Kandhadu, Alandur post, Marakkanam Block, Tindivanam.","D Ravikumar","VILUPPURAM(SC)","Images","28-Jul-2026","599729"
"390","Normal/Others","WS/MP457/2025-2026/253537-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Olakkur, Tindivanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"391","Normal/Others","WS/MP457/2025-2026/253538-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Nolambur, Tindivanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"392","Normal/Others","WS/MP457/2025-2026/253539-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government High School, Atchipakkam, Tindivanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"393","Normal/Others","WS/MP457/2025-2026/253540-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Avanipur, Tindivanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"394","Normal/Others","WS/MP457/2025-2026/253541-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Ongur, Tindivanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"395","Normal/Others","WS/MP457/2025-2026/253542-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Saram, Tindivanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"396","Normal/Others","WS/MP457/2025-2026/253543-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Murungapakkam, Olakkur, Tindivanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"397","Normal/Others","WS/MP457/2025-2026/253544-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government High School, Kanthadu, Marakkanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"398","Normal/Others","WS/MP457/2025-2026/253545-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government High School, girls Marakkanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"399","Normal/Others","WS/MP457/2025-2026/253546-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Marakkanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"400","Normal/Others","WS/MP457/2025-2026/253547-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Anumandhai, Marakkanam","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"401","Normal/Others","WS/MP457/2025-2026/253548-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government ADW Higher Secondary School, Singanur,","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"402","Normal/Others","WS/MP457/2025-2026/253549-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government High School, Alankuppam, Marakkanam.","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"403","Normal/Others","WS/MP457/2025-2026/253550-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Pudhukuppam, Vanur","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"404","Normal/Others","WS/MP457/2025-2026/253551-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government ADW Higher Secondary School, Kondhamur, Vanur","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"405","Normal/Others","WS/MP457/2025-2026/253552-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government  Higher Secondary School, Koonimedu, Marakkanam.","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"406","Normal/Others","WS/MP457/2025-2026/253553-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Ennayiram, Vikravandi","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"407","Normal/Others","WS/MP457/2025-2026/253554-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Arcadu, Mugaiyur, Kandachipuram","D Ravikumar","VILUPPURAM(SC)","N/A","04-Mar-2026","200000"
"408","Normal/Others","WS/MP457/2025-2026/253555-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Vazhuthavur, Kandamangalam.","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"409","Normal/Others","WS/MP457/2025-2026/253556-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government High School, MittaMandagapattu, Kandamangalam.","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"410","Normal/Others","WS/MP457/2025-2026/253557-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government High School, Thaduthatkondar, Thiruvennainallur.","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"411","Normal/Others","WS/MP457/2025-2026/253558-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Anathur, Thiruvennainallur.","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"412","Normal/Others","WS/MP457/2025-2026/253559-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government Higher Secondary School, Marakathapuram, Koliyanur, Viluppuram","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"413","Normal/Others","WS/MP457/2025-2026/253560-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Smart class room for Government ADW Higher Secondary School, Vazhuthareddy, Koliyanur, Viluppuram","D Ravikumar","VILUPPURAM(SC)","N/A","05-Mar-2026","200000"
"414","Normal/Others","WS/MP457/2025-2026/255582-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Providing 200 metre Cement concrete Road at Mettu Street in Munnur Panchayat","D Ravikumar","VILUPPURAM(SC)","Images","28-Jul-2026","1249980"
"415","Normal/Others","WS/MP457/2025-2026/256517-Construction of buildings for community cultural activities","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Construction of Drama Stage at Echchangkuppam village in Vikravandi Taluk","D Ravikumar","VILUPPURAM(SC)","Images","29-Jul-2026","799706"
"416","Normal/Others","WS/MP457/2025-2026/257046-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","Construction of Cement concrete road at Pillaiyar koil street, Venganthoor village, Kanai Block, Vikravandi","D Ravikumar","VILUPPURAM(SC)","Images","17-Mar-2026","499668"
"417","Normal/Others","WS/MP458/2025-2026/149728-Construction of rooms and halls in school and colleges","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of 2 Class Rooms at  St. Joseph Primary School Pothakalanvilai Village Sasthavinallur Panchayat Sathankulam Panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","07-Aug-2026","3596664"
"418","Normal/Others","WS/MP458/2025-2026/150048-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Community Hall at Pommaiahpuram Village in Sakkammalpuram Panchayat Vilathikulam Panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","10-Mar-2026","3999840"
"419","Normal/Others","WS/MP458/2025-2026/150051-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Community Hall at Arunthathiyar street in Sivagnanapuram Village and Panchayat in Vilathikulam Panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","13-Feb-2026","1998754"
"420","Normal/Others","WS/MP458/2025-2026/150052-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Community Hall at Arunthathiyar Street in Mettilpatti Village and Panchayat in Pudur panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","03-Sep-2025","1999892"
"421","Normal/Others","WS/MP458/2024-2025/150087-Construction of buildings for crèches and anganwadies","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Anganwadi centre at Punnakayal Panchayat in Alwarthirunagari Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","N/A","30-Jun-2025","1749114"
"422","Normal/Others","WS/MP458/2025-2026/153610-Construction of buildings for crèches and anganwadies","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Anganwadi at  R.C.Church Area Therespuram North zone Thoothukudi Corporation - Ward 8","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","18-Jul-2025","1590997"
"423","Normal/Others","WS/MP458/2025-2026/153614-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Ration Shop Building at Levingipuram South zone Thoothukudi Corporation - Ward 45","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","22-Jul-2025","1400000"
"424","Normal/Others","WS/MP458/2025-2026/153616-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Ration Shop Building at Chatram Street Opp. Arignar Anna Mandapam East zone Thoothukudi Corporation - Ward 38","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","18-Jul-2025","1400000"
"425","Normal/Others","WS/MP458/2025-2026/157129-Construction of water tanks","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of 60,000 Litre Capacity GLR  at Cambellabad Panchayat in Alwarthirunagari Panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","N/A","06-May-2025","949670"
"426","Normal/Others","WS/MP458/2025-2026/180092-Construction of community centers and community halls","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Multi Purpose Hall at Paneerkulam Village and Panchayat in Kayathar Panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","22-Sep-2025","3998675"
"427","Normal/Others","WS/MP458/2025-2026/180146-Construction of bus-sheds or bus-stops","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Bus Shelter at near Vattakovil ECR Road Ward No. 5 in Thoothukudi Corporation","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","23-Sep-2025","400000"
"428","Normal/Others","WS/MP458/2025-2026/225340-Construction of bus-sheds or bus-stops","Tamil Nadu","Thoothukkudi(DISTRICT COLLECTOR THOOTHUKUDI_IDA)","Construction of Bus shelter at Manthithoppu Village in Manthithoppu Panchayat in Kovilpatti Panchayat Union","Kanimozhi Karunanidhi","THOOTHUKKUDI","Images","13-Mar-2026","695085"
"429","Normal/Others","WS/MP459/2025-2026/149087-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Construction of Road in NSK Street, Shanmugam Street, Z-10, Ward 129","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","Images","14-Oct-2025","1746641"
"430","Normal/Others","WS/MP459/2025-2026/149088-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Kaveri Rengan Street, Thasarathapuram Diwakar Nagar & Streets Z-10, Ward 129","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","Images","14-Oct-2025","3138374"
"431","Normal/Others","WS/MP459/2025-2026/149089-Construction of rooms and facilities for hospitals, FWC , PHC Centers and ANM centers","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Construction of First Floor in UPHC, Radhakrishnan Salai. Zone - 10, Ward - 133","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","Images","17-Feb-2026","10478968"
"432","Normal/Others","WS/MP459/2025-2026/201930-Construction of public toilets and bathrooms","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Construction of Toilet, Fixing Wall Tiles","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","Images","29-Jan-2026","1587249"
"433","Normal/Others","WS/MP459/2025-2026/231095-Purchase of smart boards, visual display units and projectors","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Setting Smart Board for 7 Class Rooms in Chennai Middle School, NS Garden","T Sumathy (A) Thamizhachi Thangapandian","CHENNAI SOUTH","Images","02-Mar-2026","1295616"
"434","Normal/Others","WS/MP508/2024-2025/134677-Street lights","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing High mast light at Melkaripur Panchayat at Thandarampet Block","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","435000"
"435","Normal/Others","WS/MP508/2024-2025/134680-Street lights","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing High mast light at Sathanoor Panchayat at Thandarampet Block","CN Annadurai","TIRUVANNAMALAI","Images","30-Mar-2026","435000"
"436","Normal/Others","WS/MP508/2024-2025/134684-Street lights","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing High mast light at Devanampattu Panchayat at Thurinjapuram Block","CN Annadurai","TIRUVANNAMALAI","N/A","23-Dec-2024","435000"
"437","Normal/Others","WS/MP508/2024-2025/134687-Street lights","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing High mast light at Che. Sorpanandal Panchayat at Chengam Block","CN Annadurai","TIRUVANNAMALAI","Images","05-Jul-2025","435000"
"438","Normal/Others","WS/MP508/2024-2025/134688-Street lights","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing High mast light at Che. Nachipattu Panchayat at Chengam Block","CN Annadurai","TIRUVANNAMALAI","Images","05-Jul-2025","435000"
"439","Normal/Others","WS/MP508/2024-2025/134689-Street lights","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Providing High mast light at Che. Kayampattu Panchayat at Chengam Block","CN Annadurai","TIRUVANNAMALAI","Images","05-Jul-2025","435000"
"440","Normal/Others","WS/MP508/2025-2026/134707-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing High mast light at Chinnakandili","CN Annadurai","TIRUVANNAMALAI","Images","03-Feb-2026","434102"
"441","Normal/Others","WS/MP508/2025-2026/134708-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing High mast light at Puliyur in Nellivasalnadu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","27-Jun-2025","434956"
"442","Normal/Others","WS/MP508/2025-2026/134709-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing High mast light at Perumpalli in Pungampattunadu panchayat","CN Annadurai","TIRUVANNAMALAI","Images","27-Jun-2025","434956"
"443","Normal/Others","WS/MP508/2025-2026/134710-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing High mast light at Eswaran koil street at Tiruppathur Municipality","CN Annadurai","TIRUVANNAMALAI","Images","11-Jul-2025","435000"
"444","Normal/Others","WS/MP508/2025-2026/134711-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing High mast light at Tiruppathur ITI main road at Tirupathur Municipality","CN Annadurai","TIRUVANNAMALAI","Images","11-Jul-2025","435000"
"445","Normal/Others","WS/MP508/2024-2025/137468-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing LED Street Light arrangements in pakkirithaka at Katteri panchayat km 0/0-0/300","CN Annadurai","TIRUVANNAMALAI","N/A","23-Apr-2025","1000000"
"446","Normal/Others","WS/MP508/2024-2025/137469-Street lights","Tamil Nadu","Tirupathur(District Collector Tirupathur_IDA)","Providing LED Street Light arrangements in pakkirithaka at Katteri panchayat km 0/301-0/600","CN Annadurai","TIRUVANNAMALAI","Images","23-Apr-2025","1000000"
